fold,phase,population,row_type,model,master_seed,member,status,accepted,f1,fn,fp,negative,positive,precision,recall,rejected,rows,tn,tp,coverage,score_scope,support,log_loss,brier,roc_auc,average_precision,undefined_reasons,selected_threshold,selection_available,decision_unavailable_reason,probability_available,acceptance_available,selected_decision_metrics,details,correlation,mean_absolute_difference,reason,fit_id,requested_fit_id,reused,training_support,fit_contract_sha256,model_sha256,fit_seconds,iterations,member_score_note
2023Q2,inner,0.0005,primary,primary_unfiltered,,,available,3636,0.4491362763915547,0,2583,2583,1053,0.2896039603960396,1.0,0,3636,0,1053,"{""all_outcomes"": {""ambiguous"": 51, ""causally_ineligible"": 21974, ""censored"": 460, ""no_primary_signal"": 11614, ""stop_loss"": 33416, ""take_profit"": 12801, ""timeout"": 23}, ""causal_eligible"": 3679, ""causal_reasons"": {"""": 47037, ""insufficient_history"": 33302}, ""eligible_outcomes"": {""ambiguous"": 2, ""censored"": 41, ""stop_loss"": 2581, ""take_profit"": 1053, ""timeout"": 2}, ""metric_rows"": 3636, ""openings"": 80339, ""primary_accepted"": 3679, ""primary_event"": 5130, ""primary_reasons"": {""no_momentum"": 399, ""primary_history"": 11215, ""signal"": 68725}, ""primary_signals"": 68725}",,,,,,,,,,,,,,,,,,,,,,,,,,
2023Q2,inner,0.0005,model,full,,,available,443,,,,,,,,3236,,,,"{""all_outcomes"": {""ambiguous"": 51, ""causally_ineligible"": 21974, ""censored"": 460, ""no_primary_signal"": 11614, ""stop_loss"": 33416, ""take_profit"": 12801, ""timeout"": 23}, ""causal_eligible"": 3679, ""causal_reasons"": {"""": 47037, ""insufficient_history"": 33302}, ""eligible_outcomes"": {""ambiguous"": 2, ""censored"": 41, ""stop_loss"": 2581, ""take_profit"": 1053, ""timeout"": 2}, ""metric_rows"": 3636, ""openings"": 80339, ""primary_accepted"": 3679, ""primary_event"": 5130, ""primary_reasons"": {""no_momentum"": 399, ""primary_history"": 11215, ""signal"": 68725}, ""primary_signals"": 68725}",conclusive_metric_rows,"{""negative"": 2583, ""positive"": 1053, ""rows"": 3636}",0.6038385846848385,0.2064960857111864,0.504354389629909,0.3041239291459802,"{""thresholds.0.5.precision"": ""no_signals""}",0.3,True,,3679,3679,"{""accepted"": 438, ""f1"": 0.19852448021462105, ""fn"": 905, ""fp"": 290, ""negative"": 2583, ""positive"": 1053, ""precision"": 0.3378995433789954, ""recall"": 0.14055080721747387, ""rejected"": 3198, ""rows"": 3636, ""tn"": 2293, ""tp"": 148}",,,,,,,,,,,,,
2023Q2,inner,0.0005,model,sequential_0,0,,available,1690,,,,,,,,1989,,,,"{""all_outcomes"": {""ambiguous"": 51, ""causally_ineligible"": 21974, ""censored"": 460, ""no_primary_signal"": 11614, ""stop_loss"": 33416, ""take_profit"": 12801, ""timeout"": 23}, ""causal_eligible"": 3679, ""causal_reasons"": {"""": 47037, ""insufficient_history"": 33302}, ""eligible_outcomes"": {""ambiguous"": 2, ""censored"": 41, ""stop_loss"": 2581, ""take_profit"": 1053, ""timeout"": 2}, ""metric_rows"": 3636, ""openings"": 80339, ""primary_accepted"": 3679, ""primary_event"": 5130, ""primary_reasons"": {""no_momentum"": 399, ""primary_history"": 11215, ""signal"": 68725}, ""primary_signals"": 68725}",conclusive_metric_rows,"{""negative"": 2583, ""positive"": 1053, ""rows"": 3636}",0.6032622764744545,0.20628695556208423,0.5153242822619516,0.3079616477046847,{},0.3,True,,3679,3679,"{""accepted"": 1670, ""f1"": 0.36136614028644876, ""fn"": 561, ""fp"": 1178, ""negative"": 2583, ""positive"": 1053, ""precision"": 0.2946107784431138, ""recall"": 0.4672364672364672, ""rejected"": 1966, ""rows"": 3636, ""tn"": 1405, ""tp"": 492}",,,,,,,,,,,,,
2023Q2,inner,0.0005,model,sequential_1,1,,available,1359,,,,,,,,2320,,,,"{""all_outcomes"": {""ambiguous"": 51, ""causally_ineligible"": 21974, ""censored"": 460, ""no_primary_signal"": 11614, ""stop_loss"": 33416, ""take_profit"": 12801, ""timeout"": 23}, ""causal_eligible"": 3679, ""causal_reasons"": {"""": 47037, ""insufficient_history"": 33302}, ""eligible_outcomes"": {""ambiguous"": 2, ""censored"": 41, ""stop_loss"": 2581, ""take_profit"": 1053, ""timeout"": 2}, ""metric_rows"": 3636, ""openings"": 80339, ""primary_accepted"": 3679, ""primary_event"": 5130, ""primary_reasons"": {""no_momentum"": 399, ""primary_history"": 11215, ""signal"": 68725}, ""primary_signals"": 68725}",conclusive_metric_rows,"{""negative"": 2583, ""positive"": 1053, ""rows"": 3636}",0.6209458137511409,0.21259372717300906,0.47326573523502163,0.2790733549170094,{},0.3,True,,3679,3679,"{""accepted"": 1355, ""f1"": 0.29983388704318936, ""fn"": 692, ""fp"": 994, ""negative"": 2583, ""positive"": 1053, ""precision"": 0.26642066420664207, ""recall"": 0.34283000949667614, ""rejected"": 2281, ""rows"": 3636, ""tn"": 1589, ""tp"": 361}",,,,,,,,,,,,,
2023Q2,inner,0.0005,model,uniform_0,0,,available,1199,,,,,,,,2480,,,,"{""all_outcomes"": {""ambiguous"": 51, ""causally_ineligible"": 21974, ""censored"": 460, ""no_primary_signal"": 11614, ""stop_loss"": 33416, ""take_profit"": 12801, ""timeout"": 23}, ""causal_eligible"": 3679, ""causal_reasons"": {"""": 47037, ""insufficient_history"": 33302}, ""eligible_outcomes"": {""ambiguous"": 2, ""censored"": 41, ""stop_loss"": 2581, ""take_profit"": 1053, ""timeout"": 2}, ""metric_rows"": 3636, ""openings"": 80339, ""primary_accepted"": 3679, ""primary_event"": 5130, ""primary_reasons"": {""no_momentum"": 399, ""primary_history"": 11215, ""signal"": 68725}, ""primary_signals"": 68725}",conclusive_metric_rows,"{""negative"": 2583, ""positive"": 1053, ""rows"": 3636}",0.6075520537992345,0.20765179010956505,0.5188968413900663,0.3162861510352144,{},0.3,True,,3679,3679,"{""accepted"": 1188, ""f1"": 0.32663989290495316, ""fn"": 687, ""fp"": 822, ""negative"": 2583, ""positive"": 1053, ""precision"": 0.30808080808080807, ""recall"": 0.3475783475783476, ""rejected"": 2448, ""rows"": 3636, ""tn"": 1761, ""tp"": 366}",,,,,,,,,,,,,
2023Q2,inner,0.0005,model,uniform_1,1,,available,1380,,,,,,,,2299,,,,"{""all_outcomes"": {""ambiguous"": 51, ""causally_ineligible"": 21974, ""censored"": 460, ""no_primary_signal"": 11614, ""stop_loss"": 33416, ""take_profit"": 12801, ""timeout"": 23}, ""causal_eligible"": 3679, ""causal_reasons"": {"""": 47037, ""insufficient_history"": 33302}, ""eligible_outcomes"": {""ambiguous"": 2, ""censored"": 41, ""stop_loss"": 2581, ""take_profit"": 1053, ""timeout"": 2}, ""metric_rows"": 3636, ""openings"": 80339, ""primary_accepted"": 3679, ""primary_event"": 5130, ""primary_reasons"": {""no_momentum"": 399, ""primary_history"": 11215, ""signal"": 68725}, ""primary_signals"": 68725}",conclusive_metric_rows,"{""negative"": 2583, ""positive"": 1053, ""rows"": 3636}",0.6125058099448129,0.2097589780552106,0.5059515077581924,0.3026025632000824,{},0.3,True,,3679,3679,"{""accepted"": 1369, ""f1"": 0.34516928158546656, ""fn"": 635, ""fp"": 951, ""negative"": 2583, ""positive"": 1053, ""precision"": 0.30533235938641345, ""recall"": 0.3969610636277303, ""rejected"": 2267, ""rows"": 3636, ""tn"": 1632, ""tp"": 418}",,,,,,,,,,,,,
2023Q2,inner,0.0005,model,weighted_constant,,,available,0,,,,,,,,3679,,,,"{""all_outcomes"": {""ambiguous"": 51, ""causally_ineligible"": 21974, ""censored"": 460, ""no_primary_signal"": 11614, ""stop_loss"": 33416, ""take_profit"": 12801, ""timeout"": 23}, ""causal_eligible"": 3679, ""causal_reasons"": {"""": 47037, ""insufficient_history"": 33302}, ""eligible_outcomes"": {""ambiguous"": 2, ""censored"": 41, ""stop_loss"": 2581, ""take_profit"": 1053, ""timeout"": 2}, ""metric_rows"": 3636, ""openings"": 80339, ""primary_accepted"": 3679, ""primary_event"": 5130, ""primary_reasons"": {""no_momentum"": 399, ""primary_history"": 11215, ""signal"": 68725}, ""primary_signals"": 68725}",conclusive_metric_rows,"{""negative"": 2583, ""positive"": 1053, ""rows"": 3636}",0.6029907591212215,0.20620957613709834,0.5,0.2896039603960396,"{""thresholds.0.3.precision"": ""no_signals"", ""thresholds.0.4.precision"": ""no_signals"", ""thresholds.0.5.precision"": ""no_signals""}",0.5,True,,3679,3679,"{""accepted"": 0, ""f1"": 0.0, ""fn"": 1053, ""fp"": 0, ""negative"": 2583, ""positive"": 1053, ""precision"": null, ""recall"": 0.0, ""rejected"": 3636, ""rows"": 3636, ""tn"": 2583, ""tp"": 0}",,,,,,,,,,,,,
2023Q2,inner,0.0005,model,weighted_logistic,,,available,591,,,,,,,,3088,,,,"{""all_outcomes"": {""ambiguous"": 51, ""causally_ineligible"": 21974, ""censored"": 460, ""no_primary_signal"": 11614, ""stop_loss"": 33416, ""take_profit"": 12801, ""timeout"": 23}, ""causal_eligible"": 3679, ""causal_reasons"": {"""": 47037, ""insufficient_history"": 33302}, ""eligible_outcomes"": {""ambiguous"": 2, ""censored"": 41, ""stop_loss"": 2581, ""take_profit"": 1053, ""timeout"": 2}, ""metric_rows"": 3636, ""openings"": 80339, ""primary_accepted"": 3679, ""primary_event"": 5130, ""primary_reasons"": {""no_momentum"": 399, ""primary_history"": 11215, ""signal"": 68725}, ""primary_signals"": 68725}",conclusive_metric_rows,"{""negative"": 2583, ""positive"": 1053, ""rows"": 3636}",0.6095671471910772,0.20847254502827695,0.48850122743528346,0.2917351166541349,"{""thresholds.0.5.precision"": ""no_signals""}",0.3,True,,3679,3679,"{""accepted"": 591, ""f1"": 0.22384428223844283, ""fn"": 869, ""fp"": 407, ""negative"": 2583, ""positive"": 1053, ""precision"": 0.311336717428088, ""recall"": 0.17473884140550808, ""rejected"": 3045, ""rows"": 3636, ""tn"": 2176, ""tp"": 184}",,,,,,,,,,,,,
2023Q2,inner,0.0005,paired_sensitivity,sequential_0_minus_full,,,descriptive_not_confidence_interval,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""brier"": {""delete_week_max"": 0.0004886482961733983, ""delete_week_min"": -0.0010137251439709827, ""delta"": -0.00020913014910212686}, ""log_loss"": {""delete_week_max"": 0.0010538174384749606, ""delete_week_min"": -0.0026142024309224175, ""delta"": -0.0005763082103840161}, ""status"": ""descriptive_not_confidence_interval"", ""weekly_support"": [{""negative"": 2, ""positive"": 0, ""rows"": 2, ""week_start_epoch"": 1672012800}, {""negative"": 383, ""positive"": 198, ""rows"": 581, ""week_start_epoch"": 1672617600}, {""negative"": 444, ""positive"": 132, ""rows"": 576, ""week_start_epoch"": 1673222400}, {""negative"": 418, ""positive"": 165, ""rows"": 583, ""week_start_epoch"": 1673827200}, {""negative"": 331, ""positive"": 96, ""rows"": 427, ""week_start_epoch"": 1674432000}, {""negative"": 324, ""positive"": 160, ""rows"": 484, ""week_start_epoch"": 1675036800}, {""negative"": 334, ""positive"": 163, ""rows"": 497, ""week_start_epoch"": 1675641600}, {""negative"": 347, ""positive"": 139, ""rows"": 486, ""week_start_epoch"": 1676246400}], ""weeks"": 8}",,,,,,,,,,,,
2023Q2,inner,0.0005,paired_sensitivity,sequential_0_minus_uniform_0,,,descriptive_not_confidence_interval,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""brier"": {""delete_week_max"": -0.00015931630094800253, ""delete_week_min"": -0.0029040333915506342, ""delta"": -0.0013648345474807917}, ""log_loss"": {""delete_week_max"": -0.001486963064086263, ""delete_week_min"": -0.008275393195522637, ""delta"": -0.0042897773247800195}, ""status"": ""descriptive_not_confidence_interval"", ""weekly_support"": [{""negative"": 2, ""positive"": 0, ""rows"": 2, ""week_start_epoch"": 1672012800}, {""negative"": 383, ""positive"": 198, ""rows"": 581, ""week_start_epoch"": 1672617600}, {""negative"": 444, ""positive"": 132, ""rows"": 576, ""week_start_epoch"": 1673222400}, {""negative"": 418, ""positive"": 165, ""rows"": 583, ""week_start_epoch"": 1673827200}, {""negative"": 331, ""positive"": 96, ""rows"": 427, ""week_start_epoch"": 1674432000}, {""negative"": 324, ""positive"": 160, ""rows"": 484, ""week_start_epoch"": 1675036800}, {""negative"": 334, ""positive"": 163, ""rows"": 497, ""week_start_epoch"": 1675641600}, {""negative"": 347, ""positive"": 139, ""rows"": 486, ""week_start_epoch"": 1676246400}], ""weeks"": 8}",,,,,,,,,,,,
